Species,Order,brain mass,daily sleep,D/A,Ncx,Dcx,Acx,O/N,T,Mcx
Aotus trivirgatus,Primate,15.75,16.97,10.83107498,4.42E+08,47960,4428,1.34,1.67,7.396
Callithrix sp.,Primate,7.78,10.22,,2.45E+08,54240,3068,1.114,1.331,4.084
Cebus apella,Primate,52.508,5.95,,1.14E+09,51080,15306,1.106,2.067,31.64
Saimiri sciureus,Primate,30.216,9.11,,1.34E+09,80920,10500,0.768,1.333,13.992
Macaca mulatta,Primate,87.346,8.74,,1.71E+09,32110,25000,2.011,1.714,42.86
Macaca radiata,Primate,61.47,9.02,,1.66E+09,43810,16882,1.278,1.835,30.986
Papio cynocephalus,Primate,151.19,6.19,,2.88E+09,33730,33378,1.317,2.177,72.668
Homo sapiens,Primate,1509,8.47,,1.63E+10,21450,188100,1.48,2.938,552.7
Blarina brevicauda,Eulipotyphla,0.34,14.9,,1.19E+07,59280,218,1,0.821,0.179
Caondylura cristata,Eulipotyphla,0.802,10.32,,1.73E+07,38780,363,1.924,1.072,0.389
Erinaceus europaeus,Eulipotyphla,3.23,13.96,,3.35E+07,27000,924,2.214,1.047,0.967
Scalopus aquaticus,Eulipotyphla,0.999,8.45,,2.87E+07,60252,357,1.296,1.07,0.382
Cavia porcellus,Glires,3.656,9.37,,4.35E+07,22222,1072,2.606,1.827,1.969
Mesocricetus auratus,Glires,0.965,14.98,,1.71E+07,39099,395,2.507,1.129,0.446
Mus musculus,Glires,0.402,11.6,,1.37E+07,122232,296,0.87,0.724,0.214
Oryctolagus cuniculus,Glires,7.1,9.55,,7.15E+07,43800,1380,3.566,nan,nan
Rattus norvegicus,Glires,1.724,12.27,,3.10E+07,35330,711,1.494,1.212,0.862
Dendrohydrax sp.,Afrotheria,3.328,5.4,,9.90E+07,12709,3791,1.426,1.598,6.058
Laxodonta Africana,Afrotheria,4618,3.3,,5.59E+09,3661,514134,10.628,2.633,1353.9
Procavia sp.,Afrotheria,4.317,5.45,,1.98E+08,20794,4226,1.241,1.482,6.263
Bos taurus,Aritodactyla,486,3.19,,1.34E+09,13000,105500,4.085,2.142,226
Giraffa camelopardalis,Aritodactyla,537,3.44,,1.73E+09,5882,80256,7.763,2.394,192.1
Sus scrofa,Aritodactyla,64.18,8.2,,3.07E+08,7375,13188,8.543,1.336,17.614
Tupaia sp,Scandentia,3.04,15.84,,6.04E+07,38000,1290,1.511,0.798,1.03